chromosome,start,end,transcript_name,score,strand,type,transcript_biotype,species
VCY_Ptr_ENSPTRG00000049568.1,0,102,VCY_Ptr_ENSPTRT00000055080,60,+,exon,protein-coding,Chimpanzee reference
VCY_Ptr_ENSPTRG00000049568.1,293,548,VCY_Ptr_ENSPTRT00000055080,60,+,exon,protein-coding,Chimpanzee reference
VCY_Ptr_ENSPTRG00000049568.1,792,812,VCY_Ptr_ENSPTRT00000055080,60,+,exon,protein-coding,Chimpanzee reference
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_158_support_4,58,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,293,812,longer_from_REPLICATE2_transcript_158_support_4,58,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_470_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,293,812,longer_from_REPLICATE1_transcript_470_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_296_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,293,812,longer_from_REPLICATE1_transcript_296_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_137_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,293,812,longer_from_REPLICATE1_transcript_137_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_105_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,293,812,longer_from_REPLICATE1_transcript_105_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_140_support_7,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,293,812,longer_from_REPLICATE2_transcript_140_support_7,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_146_support_37,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,293,812,longer_from_REPLICATE2_transcript_146_support_37,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,291,812,longer_from_REPLICATE2_transcript_468_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,349,812,longer_from_REPLICATE2_transcript_390_support_3,60,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,563,812,longer_from_REPLICATE2_transcript_15_support_5,50,+,exon,protein-coding,Human 1
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_579_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE2_transcript_579_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,691,812,longer_from_REPLICATE2_transcript_579_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_287_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE1_transcript_287_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,691,812,longer_from_REPLICATE1_transcript_287_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_378_support_5,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,670,longer_from_REPLICATE1_transcript_378_support_5,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,730,812,longer_from_REPLICATE1_transcript_378_support_5,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_261_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,670,longer_from_REPLICATE1_transcript_261_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,730,812,longer_from_REPLICATE1_transcript_261_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,REPLICATE1_transcript_334_support_11REPLICATE2_transcript_353_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,REPLICATE1_transcript_334_support_11REPLICATE2_transcript_353_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,691,812,REPLICATE1_transcript_334_support_11REPLICATE2_transcript_353_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_265_support_7,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,670,longer_from_REPLICATE1_transcript_265_support_7,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,730,812,longer_from_REPLICATE1_transcript_265_support_7,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_322_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE1_transcript_322_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,691,812,longer_from_REPLICATE1_transcript_322_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_585_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE2_transcript_585_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,longer_from_REPLICATE2_transcript_585_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_140_support_10,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE2_transcript_140_support_10,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,691,812,longer_from_REPLICATE2_transcript_140_support_10,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_46_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE1_transcript_46_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,691,812,longer_from_REPLICATE1_transcript_46_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_408_support_7,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE2_transcript_408_support_7,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,longer_from_REPLICATE2_transcript_408_support_7,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_111_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE1_transcript_111_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,longer_from_REPLICATE1_transcript_111_support_3,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_103_support_11,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE1_transcript_103_support_11,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,longer_from_REPLICATE1_transcript_103_support_11,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_104_support_15,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE1_transcript_104_support_15,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,longer_from_REPLICATE1_transcript_104_support_15,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_257_support_4,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE2_transcript_257_support_4,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,longer_from_REPLICATE2_transcript_257_support_4,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,REPLICATE1_transcript_217_support_5REPLICATE2_transcript_250_support_5,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,REPLICATE1_transcript_217_support_5REPLICATE2_transcript_250_support_5,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,REPLICATE1_transcript_217_support_5REPLICATE2_transcript_250_support_5,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,REPLICATE1_transcript_256_support_10REPLICATE2_transcript_276_support_13,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,REPLICATE1_transcript_256_support_10REPLICATE2_transcript_276_support_13,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,REPLICATE1_transcript_256_support_10REPLICATE2_transcript_276_support_13,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,REPLICATE1_transcript_211_support_33REPLICATE2_transcript_244_support_22,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,REPLICATE1_transcript_211_support_33REPLICATE2_transcript_244_support_22,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,REPLICATE1_transcript_211_support_33REPLICATE2_transcript_244_support_22,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE2_transcript_227_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,293,601,longer_from_REPLICATE2_transcript_227_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,721,812,longer_from_REPLICATE2_transcript_227_support_2,60,+,exon,protein-coding,Chimpanzee 2
VCY_Ptr_ENSPTRG00000049568.1,0,102,longer_from_REPLICATE1_transcript_224_support_8,60,+,exon,protein-coding,Chimpanzee 2
