sample,gene_family,orf_name,orf_length
Human 1,BPY2,longer_from_REPLICATE1_transcript_12_support_3_2,72
Human 1,BPY2,longer_from_REPLICATE1_transcript_12_support_3_1,73
Human 1,BPY2,longer_from_REPLICATE1_transcript_15_support_6_1,73
Human 1,BPY2,longer_from_REPLICATE1_transcript_15_support_6_2,83
Human 1,BPY2,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_3,70
Human 1,BPY2,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_3,70
Human 1,BPY2,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_2,72
Human 1,BPY2,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_2,83
Human 1,BPY2,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_1,106
Human 1,BPY2,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_1,106
Human 1,CDY,longer_from_REPLICATE1_transcript_52_support_3_2,51
Human 1,CDY,longer_from_REPLICATE1_transcript_62_support_3_2,51
Human 1,CDY,longer_from_REPLICATE2_transcript_108_support_7_2,51
Human 1,CDY,longer_from_REPLICATE2_transcript_198_support_5_2,51
Human 1,CDY,longer_from_REPLICATE2_transcript_219_support_8_2,51
Human 1,CDY,longer_from_REPLICATE2_transcript_85_support_5_2,51
Human 1,CDY,longer_from_REPLICATE1_transcript_52_support_3_4,142
Human 1,CDY,longer_from_REPLICATE1_transcript_62_support_3_4,142
Human 1,CDY,longer_from_REPLICATE2_transcript_108_support_7_4,142
Human 1,CDY,longer_from_REPLICATE2_transcript_198_support_5_4,142
Human 1,CDY,longer_from_REPLICATE2_transcript_219_support_8_4,142
Human 1,CDY,longer_from_REPLICATE2_transcript_85_support_5_4,142
Human 1,CDY,longer_from_REPLICATE1_transcript_52_support_3_3,167
Human 1,CDY,longer_from_REPLICATE1_transcript_62_support_3_3,167
Human 1,CDY,longer_from_REPLICATE2_transcript_108_support_7_3,167
Human 1,CDY,longer_from_REPLICATE2_transcript_198_support_5_3,167
Human 1,CDY,longer_from_REPLICATE2_transcript_219_support_8_3,167
Human 1,CDY,longer_from_REPLICATE2_transcript_85_support_5_3,167
Human 1,CDY,longer_from_REPLICATE1_transcript_52_support_3_1,540
Human 1,CDY,longer_from_REPLICATE1_transcript_62_support_3_1,540
Human 1,CDY,longer_from_REPLICATE2_transcript_108_support_7_1,540
Human 1,CDY,longer_from_REPLICATE2_transcript_198_support_5_1,540
Human 1,CDY,longer_from_REPLICATE2_transcript_219_support_8_1,540
Human 1,CDY,longer_from_REPLICATE2_transcript_85_support_5_1,541
Human 1,CDY,REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_2,51
Human 1,CDY,REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_2,51
Human 1,CDY,REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_4,142
Human 1,CDY,REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_4,142
Human 1,CDY,REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_3,167
Human 1,CDY,REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_3,167
Human 1,CDY,REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_1,541
Human 1,CDY,REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_1,554
Human 1,DAZ,longer_from_REPLICATE1_transcript_157_support_3_5,51
Human 1,DAZ,longer_from_REPLICATE1_transcript_159_support_2_5,51
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_7,51
Human 1,DAZ,longer_from_REPLICATE1_transcript_216_support_3_5,51
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_7,51
Human 1,DAZ,longer_from_REPLICATE1_transcript_5_support_2_5,51
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_7,51
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_7,51
Human 1,DAZ,longer_from_REPLICATE2_transcript_635_support_8_5,51
Human 1,DAZ,longer_from_REPLICATE1_transcript_110_support_5_3,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_110_support_5_5,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_128_support_3_3,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_128_support_3_5,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_157_support_3_4,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_159_support_2_4,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_6,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_216_support_3_4,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_6,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_5_support_2_4,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_157_support_3_3,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_157_support_3_5,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_187_support_5_3,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_187_support_5_5,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_189_support_6_1,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_189_support_6_3,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_6,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_52_support_3_3,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_52_support_3_5,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_6,52
Human 1,DAZ,longer_from_REPLICATE2_transcript_635_support_8_4,52
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_8,54
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_8,54
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_8,54
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_8,54
Human 1,DAZ,longer_from_REPLICATE1_transcript_157_support_3_1,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_157_support_3_3,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_159_support_2_1,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_159_support_2_3,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_3,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_5,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_216_support_3_1,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_216_support_3_3,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_3,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_5,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_5_support_2_1,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_5_support_2_3,56
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_3,56
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_5,56
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_3,56
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_5,56
Human 1,DAZ,longer_from_REPLICATE2_transcript_635_support_8_1,56
Human 1,DAZ,longer_from_REPLICATE2_transcript_635_support_8_3,56
Human 1,DAZ,longer_from_REPLICATE1_transcript_110_support_5_4,60
Human 1,DAZ,longer_from_REPLICATE1_transcript_128_support_3_4,60
Human 1,DAZ,longer_from_REPLICATE2_transcript_157_support_3_4,60
Human 1,DAZ,longer_from_REPLICATE2_transcript_187_support_5_4,60
Human 1,DAZ,longer_from_REPLICATE2_transcript_189_support_6_2,60
Human 1,DAZ,longer_from_REPLICATE2_transcript_52_support_3_4,60
Human 1,DAZ,longer_from_REPLICATE1_transcript_157_support_3_2,68
Human 1,DAZ,longer_from_REPLICATE1_transcript_159_support_2_2,68
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_4,68
Human 1,DAZ,longer_from_REPLICATE1_transcript_216_support_3_2,68
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_4,68
Human 1,DAZ,longer_from_REPLICATE1_transcript_5_support_2_2,68
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_4,68
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_4,68
Human 1,DAZ,longer_from_REPLICATE2_transcript_635_support_8_2,68
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_9,71
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_9,71
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_9,71
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_9,71
Human 1,DAZ,longer_from_REPLICATE1_transcript_110_support_5_1,102
Human 1,DAZ,longer_from_REPLICATE1_transcript_128_support_3_1,102
Human 1,DAZ,longer_from_REPLICATE2_transcript_157_support_3_1,102
Human 1,DAZ,longer_from_REPLICATE2_transcript_187_support_5_1,102
Human 1,DAZ,longer_from_REPLICATE2_transcript_52_support_3_1,102
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_1,137
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_1,137
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_1,137
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_1,137
Human 1,DAZ,longer_from_REPLICATE1_transcript_128_support_3_2,144
Human 1,DAZ,longer_from_REPLICATE2_transcript_52_support_3_2,144
Human 1,DAZ,longer_from_REPLICATE2_transcript_187_support_5_2,245
Human 1,DAZ,longer_from_REPLICATE2_transcript_157_support_3_2,258
Human 1,DAZ,longer_from_REPLICATE1_transcript_110_support_5_2,315
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2_2,366
Human 1,DAZ,longer_from_REPLICATE1_transcript_183_support_7_2,606
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2_2,627
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3_2,627
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_7,51
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_6,52
Human 1,DAZ,REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_3,52
Human 1,DAZ,REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_5,52
Human 1,DAZ,REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_3,52
Human 1,DAZ,REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_5,52
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_8,54
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_3,56
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_5,56
Human 1,DAZ,REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_4,60
Human 1,DAZ,REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_4,60
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_4,68
Human 1,DAZ,REPLICATE1_transcript_2_support_5REPLICATE2_transcript_8_support_3_1,71
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_9,71
Human 1,DAZ,REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_1,102
Human 1,DAZ,REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_1,102
Human 1,DAZ,REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_1,137
Human 1,DAZ,REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_2,295
Human 1,DAZ,REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_2,295
