chromosome,start,end,transcript_name,score,strand,type,transcript_biotype,species
XKRY_ENSG00000250868.5,7503,7857,XKRY_intronless_NM_004677.2,60,+,exon,protein-coding,Human reference
XKRY_ENSG00000250868.5,0,263,REPLICATE1_transcript_281_support_5REPLICATE2_transcript_289_support_5,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_281_support_5REPLICATE2_transcript_289_support_5,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,REPLICATE1_transcript_280_support_3REPLICATE2_transcript_288_support_8,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_280_support_3REPLICATE2_transcript_288_support_8,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE2_transcript_249_support_2,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_249_support_2,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,REPLICATE1_transcript_247_support_31REPLICATE2_transcript_252_support_16,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_247_support_31REPLICATE2_transcript_252_support_16,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_268_support_7,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_268_support_7,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,REPLICATE1_transcript_239_support_49REPLICATE2_transcript_240_support_50,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_239_support_49REPLICATE2_transcript_240_support_50,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_261_support_49,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_261_support_49,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE2_transcript_300_support_13,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_300_support_13,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_253_support_6,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_253_support_6,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_234_support_5,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_234_support_5,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_251_support_4,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8251,longer_from_REPLICATE1_transcript_251_support_4,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_249_support_8,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8202,longer_from_REPLICATE1_transcript_249_support_8,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE2_transcript_89_support_3,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8195,longer_from_REPLICATE2_transcript_89_support_3,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,335,longer_from_REPLICATE2_transcript_227_support_4,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_227_support_4,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_167_support_3,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7520,8202,longer_from_REPLICATE1_transcript_167_support_3,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7518,8284,longer_from_REPLICATE2_transcript_194_support_6,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,7518,8284,longer_from_REPLICATE2_transcript_125_support_3,60,+,exon,protein-coding,Human 1
XKRY_ENSG00000250868.5,6,263,REPLICATE1_transcript_24_support_5REPLICATE2_transcript_37_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_24_support_5REPLICATE2_transcript_37_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,longer_from_REPLICATE2_transcript_167_support_5,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_167_support_5,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,longer_from_REPLICATE2_transcript_295_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_295_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,longer_from_REPLICATE1_transcript_41_support_5,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_41_support_5,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,REPLICATE1_transcript_48_support_48REPLICATE2_transcript_72_support_47,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_48_support_48REPLICATE2_transcript_72_support_47,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,REPLICATE1_transcript_54_support_34REPLICATE2_transcript_82_support_46,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_54_support_34REPLICATE2_transcript_82_support_46,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,REPLICATE1_transcript_131_support_8REPLICATE2_transcript_201_support_7,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_131_support_8REPLICATE2_transcript_201_support_7,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,longer_from_REPLICATE1_transcript_138_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_138_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,longer_from_REPLICATE2_transcript_278_support_9,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8182,longer_from_REPLICATE2_transcript_278_support_9,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,6,263,longer_from_REPLICATE1_transcript_102_support_5,53,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,7923,longer_from_REPLICATE1_transcript_102_support_5,53,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,124,263,longer_from_REPLICATE2_transcript_381_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_381_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,166,263,longer_from_REPLICATE2_transcript_2_support_6,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_2_support_6,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7518,8284,REPLICATE1_transcript_185_support_8REPLICATE2_transcript_303_support_7,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7518,8284,REPLICATE1_transcript_186_support_8REPLICATE2_transcript_304_support_4,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7518,8284,longer_from_REPLICATE2_transcript_238_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7518,8284,longer_from_REPLICATE1_transcript_112_support_4,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7518,8284,REPLICATE1_transcript_77_support_6REPLICATE2_transcript_135_support_2,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7560,8284,longer_from_REPLICATE1_transcript_261_support_3,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7609,8284,longer_from_REPLICATE2_transcript_224_support_7,60,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7742,8182,REPLICATE1_transcript_80_support_3REPLICATE2_transcript_137_support_3,9,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,7894,8284,REPLICATE1_transcript_237_support_8REPLICATE2_transcript_50_support_3,8,+,exon,protein-coding,Chimpanzee 2
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_173_support_3,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_173_support_3,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_349_support_11,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE1_transcript_349_support_11,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE2_transcript_190_support_57,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,7520,8284,longer_from_REPLICATE2_transcript_190_support_57,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,0,263,REPLICATE1_transcript_96_support_11REPLICATE2_transcript_73_support_7,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,7520,8284,REPLICATE1_transcript_96_support_11REPLICATE2_transcript_73_support_7,60,+,exon,protein-coding,Bonobo
XKRY_ENSG00000250868.5,0,263,longer_from_REPLICATE1_transcript_178_support_6,60,+,exon,protein-coding,Bonobo
