chromosome,start,end,transcript_name,score,strand,type,transcript_biotype,species
BPY2_ENSG00000183753.10,18525,18603,BPY2_CCDS14800.1,60,+,exon,protein-coding,Human reference
BPY2_ENSG00000183753.10,20662,20780,BPY2_CCDS14800.1,60,+,exon,protein-coding,Human reference
BPY2_ENSG00000183753.10,23633,23739,BPY2_CCDS14800.1,60,+,exon,protein-coding,Human reference
BPY2_ENSG00000183753.10,24431,24450,BPY2_CCDS14800.1,60,+,exon,protein-coding,Human reference
BPY2_ENSG00000183753.10,10403,10475,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,10750,10873,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,13938,14075,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,18484,18603,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,20662,20780,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,23633,23739,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,24431,24556,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31106,31236,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31325,31642,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,10403,10475,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,10750,10873,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,13938,14075,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,18484,18603,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,20662,20780,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,23633,23739,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,24431,24556,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31106,31231,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31325,31643,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,18299,18450,longer_from_REPLICATE1_transcript_12_support_3,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,20662,20780,longer_from_REPLICATE1_transcript_12_support_3,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,23633,23739,longer_from_REPLICATE1_transcript_12_support_3,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,24431,24556,longer_from_REPLICATE1_transcript_12_support_3,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31106,31236,longer_from_REPLICATE1_transcript_12_support_3,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31325,31643,longer_from_REPLICATE1_transcript_12_support_3,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,18337,18450,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,20662,20780,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,23633,23739,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,24431,24556,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31106,31231,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,31325,31647,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
BPY2_ENSG00000183753.10,351,1084,longer_from_REPLICATE2_transcript_30_support_3,60,-,exon,protein-coding,Bonobo
BPY2_ENSG00000183753.10,5227,5337,longer_from_REPLICATE2_transcript_30_support_3,60,-,exon,protein-coding,Bonobo
BPY2_ENSG00000183753.10,351,1102,longer_from_REPLICATE2_transcript_12_support_7,60,-,exon,protein-coding,Bonobo
BPY2_ENSG00000183753.10,5286,5337,longer_from_REPLICATE2_transcript_12_support_7,60,-,exon,protein-coding,Bonobo
BPY2_ENSG00000183753.10,351,1088,REPLICATE1_transcript_11_support_18REPLICATE2_transcript_19_support_11,60,-,exon,protein-coding,Bonobo
BPY2_ENSG00000183753.10,5295,5337,REPLICATE1_transcript_11_support_18REPLICATE2_transcript_19_support_11,60,-,exon,protein-coding,Bonobo
BPY2_ENSG00000183753.10,351,870,longer_from_REPLICATE2_transcript_5_support_3,60,+,exon,protein-coding,Gorilla
BPY2_ENSG00000183753.10,27941,27983,longer_from_REPLICATE2_transcript_5_support_3,60,+,exon,protein-coding,Gorilla
