sample	gene_family	orf_name	orf_length
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_11	50
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_5	50
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_11	50
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_5	50
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_53	51
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_51	51
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_36	53
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_39	53
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_34	53
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_37	53
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_40	53
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_43	53
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_41	53
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_44	53
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_49	55
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_47	55
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_13	55
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_53	55
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_13	55
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_54	55
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_25	59
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_30	59
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_22	70
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_28	70
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_24	81
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_29	81
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_23	92
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_29	92
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_47	94
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_52	94
Human 1	BPY2	longer_from_REPLICATE1_transcript_12_support_3_11	95
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_10	95
Human 1	BPY2	longer_from_REPLICATE1_transcript_15_support_6_45	97
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_51	97
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_71	101
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_72	101
Human 1	BPY2	REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6_16	112
Human 1	BPY2	REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6_16	112
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_58	50
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_78	50
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_89	50
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_102	50
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_113	50
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_82	50
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_58	50
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_78	50
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_89	50
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_108	50
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_77	50
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_97	50
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_108	50
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_77	50
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_97	50
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_58	50
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_89	50
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_58	50
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_89	50
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_104	50
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_73	50
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_93	50
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_55	51
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_78	51
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_78	51
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_91	52
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_115	52
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_91	52
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_110	52
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_110	52
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_91	52
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_91	52
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_106	52
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_65	53
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_89	53
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_65	53
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_84	53
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_84	53
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_65	53
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_65	53
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_80	53
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_87	58
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_111	58
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_87	58
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_106	58
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_106	58
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_87	58
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_87	58
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_102	58
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_11	59
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_11	59
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_11	59
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_11	59
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_11	59
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_11	59
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_11	59
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_11	59
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_52	62
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_76	62
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_52	62
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_71	62
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_71	62
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_52	62
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_52	62
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_51	62
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_83	66
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_107	66
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_83	66
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_102	66
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_102	66
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_98	66
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_83	67
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_83	67
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_64	69
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_67	71
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_26	98
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_26	98
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_26	98
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_26	98
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_26	98
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_26	98
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_26	98
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_26	98
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_95	164
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_119	164
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_95	164
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_114	164
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_114	164
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_95	164
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_95	164
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_110	164
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_71	175
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_95	175
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_71	175
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_90	175
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_90	175
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_71	175
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_71	175
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_86	175
Human 1	CDY	longer_from_REPLICATE1_transcript_52_support_3_46	615
Human 1	CDY	longer_from_REPLICATE1_transcript_62_support_3_46	615
Human 1	CDY	longer_from_REPLICATE2_transcript_108_support_7_46	615
Human 1	CDY	longer_from_REPLICATE2_transcript_198_support_5_46	615
Human 1	CDY	longer_from_REPLICATE2_transcript_219_support_8_46	615
Human 1	CDY	longer_from_REPLICATE2_transcript_85_support_5_46	616
Human 1	CDY	REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30_46	616
Human 1	CDY	REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13_47	629
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_96	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_88	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_157_support_3_137	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_159_support_2_130	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_156	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_4	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_216_support_3_134	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_165	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_4	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_5_support_2_134	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_94	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_93	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_83	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_164	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_2	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_4	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_87	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_148	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_4	50
Human 1	DAZ	longer_from_REPLICATE2_transcript_635_support_8_130	50
Human 1	DAZ	REPLICATE1_transcript_2_support_5REPLICATE2_transcript_8_support_3_35	50
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_156	50
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_4	50
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_97	50
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_97	50
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_166	51
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_164	51
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_167	51
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_167	51
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_203	52
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_219	52
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_218	52
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_177	52
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_203	52
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_55	53
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_47	53
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_53	53
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_52	53
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_42	53
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_46	53
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_56	53
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_56	53
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_155	54
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_147	54
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_192	54
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_191	54
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_153	54
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_152	54
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_190	54
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_166	54
Human 1	DAZ	REPLICATE1_transcript_41_support_10REPLICATE2_transcript_134_support_12_192	54
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_156	54
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_171	54
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_156	54
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_171	54
Human 1	DAZ	longer_from_REPLICATE1_transcript_110_support_5_51	55
Human 1	DAZ	longer_from_REPLICATE1_transcript_128_support_3_43	55
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_2	55
Human 1	DAZ	longer_from_REPLICATE2_transcript_157_support_3_49	55
Human 1	DAZ	longer_from_REPLICATE2_transcript_187_support_5_48	55
Human 1	DAZ	longer_from_REPLICATE2_transcript_189_support_6_38	55
Human 1	DAZ	longer_from_REPLICATE2_transcript_52_support_3_42	55
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_170	55
Human 1	DAZ	REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4_52	55
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_170	55
Human 1	DAZ	REPLICATE1_transcript_92_support_23REPLICATE2_transcript_255_support_48_52	55
Human 1	DAZ	longer_from_REPLICATE1_transcript_183_support_7_1	56
Human 1	DAZ	longer_from_REPLICATE1_transcript_45_support_2_208	56
Human 1	DAZ	longer_from_REPLICATE2_transcript_454_support_3_207	56
Human 1	DAZ	longer_from_REPLICATE2_transcript_542_support_2_1	56
