chromosome,start,end,transcript_name,score,strand,type,transcript_biotype,species
VCY_ENSG00000129864.7,33,135,VCY_CCDS56617.1,60,+,exon,protein-coding,Human reference
VCY_ENSG00000129864.7,327,603,VCY_CCDS56617.1,60,+,exon,protein-coding,Human reference
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE2_transcript_162_support_3,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,701,longer_from_REPLICATE2_transcript_162_support_3,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE2_transcript_267_support_3,47,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,698,longer_from_REPLICATE2_transcript_267_support_3,47,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,3,135,REPLICATE1_transcript_357_support_5REPLICATE2_transcript_453_support_3,45,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,698,REPLICATE1_transcript_357_support_5REPLICATE2_transcript_453_support_3,45,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,3,135,longer_from_REPLICATE2_transcript_558_support_7,45,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,698,longer_from_REPLICATE2_transcript_558_support_7,45,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,3,135,longer_from_REPLICATE1_transcript_197_support_2,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,698,longer_from_REPLICATE1_transcript_197_support_2,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,89,135,longer_from_REPLICATE2_transcript_318_support_3,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,698,longer_from_REPLICATE2_transcript_318_support_3,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,0,135,REPLICATE1_transcript_71_support_83REPLICATE2_transcript_92_support_97,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,701,REPLICATE1_transcript_71_support_83REPLICATE2_transcript_92_support_97,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE1_transcript_64_support_5,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,701,longer_from_REPLICATE1_transcript_64_support_5,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE2_transcript_79_support_3,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,701,longer_from_REPLICATE2_transcript_79_support_3,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE1_transcript_86_support_7,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,327,701,longer_from_REPLICATE1_transcript_86_support_7,60,+,exon,protein-coding,Human 1
VCY_ENSG00000129864.7,2,135,longer_from_REPLICATE2_transcript_303_support_8,15,+,exon,protein-coding,Chimpanzee 2
VCY_ENSG00000129864.7,327,698,longer_from_REPLICATE2_transcript_303_support_8,15,+,exon,protein-coding,Chimpanzee 2
VCY_ENSG00000129864.7,2,135,longer_from_REPLICATE2_transcript_34_support_3,8,+,exon,protein-coding,Chimpanzee 2
VCY_ENSG00000129864.7,327,698,longer_from_REPLICATE2_transcript_34_support_3,8,+,exon,protein-coding,Chimpanzee 2
VCY_ENSG00000129864.7,0,135,REPLICATE1_transcript_190_support_8REPLICATE2_transcript_168_support_7,7,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,327,698,REPLICATE1_transcript_190_support_8REPLICATE2_transcript_168_support_7,7,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,0,135,REPLICATE1_transcript_133_support_19REPLICATE2_transcript_123_support_33,6,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,327,698,REPLICATE1_transcript_133_support_19REPLICATE2_transcript_123_support_33,6,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,0,135,REPLICATE1_transcript_114_support_25REPLICATE2_transcript_102_support_38,7,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,327,698,REPLICATE1_transcript_114_support_25REPLICATE2_transcript_102_support_38,7,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE1_transcript_155_support_24,60,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,327,698,longer_from_REPLICATE1_transcript_155_support_24,60,+,exon,protein-coding,Gorilla
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE2_transcript_15_support_4,60,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,327,699,longer_from_REPLICATE2_transcript_15_support_4,60,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE1_transcript_16_support_3,60,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,327,699,longer_from_REPLICATE1_transcript_16_support_3,60,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE2_transcript_1_support_5,55,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,327,699,longer_from_REPLICATE2_transcript_1_support_5,55,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE2_transcript_16_support_5,56,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,327,699,longer_from_REPLICATE2_transcript_16_support_5,56,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,0,135,longer_from_REPLICATE2_transcript_105_support_31,60,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,327,699,longer_from_REPLICATE2_transcript_105_support_31,60,+,exon,protein-coding,Bornean orangutan
VCY_ENSG00000129864.7,0,135,REPLICATE1_transcript_38_support_13REPLICATE2_transcript_19_support_7,60,+,exon,protein-coding,Bornean orangutan
