chromosome,start,end,transcript_name,score,strand,type,transcript_biotype,species
DAZ1_ENSG00000188120.16,6811,6959,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,7233,7325,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,7885,7937,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,8373,8437,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,8526,8666,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,17660,17807,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,18081,18173,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,18733,18785,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,19221,19285,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,19374,19514,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,28500,28647,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,28921,29013,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,29573,29625,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,30061,30125,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,30214,30354,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,31754,31826,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,34199,34271,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,36590,36662,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,38986,39058,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,41369,41441,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,43765,43837,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,46142,46214,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,55928,56000,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,58313,58385,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,59129,59164,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,63737,63801,DAZ1_CCDS48209.1,60,+,exon,protein-coding,Human reference
DAZ1_ENSG00000188120.16,0,213,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,17660,17807,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,18081,18173,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,18733,18785,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,19221,19285,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,19374,19514,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,28500,28647,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,28921,29013,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,29573,29625,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
DAZ1_ENSG00000188120.16,30061,30125,longer_from_REPLICATE2_transcript_454_support_3,60,+,exon,protein-coding,Human 1
