chromosome,start,end,transcript_name,score,strand,type,transcript_biotype,species
RBMY1A1_ENSG00000234414.8,2013,2122,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,2596,2700,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,5719,5897,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,7812,7965,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,9975,10090,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,11045,11156,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,11597,11708,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,12142,12253,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,13174,13285,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,13371,13460,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,13871,14170,RBMY1A_CCDS14796.1,60,+,exon,protein-coding,Human reference
RBMY1A1_ENSG00000234414.8,25,148,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2009,2122,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2596,2700,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,5719,5897,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,7812,7965,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,9975,10090,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11045,11156,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11597,11708,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,12142,12253,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13371,13460,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13871,14446,longer_from_REPLICATE2_transcript_239_support_5,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,35,148,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2009,2122,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2596,2700,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,5719,5897,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,7812,7965,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,9975,10090,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11045,11156,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11597,11708,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,12142,12253,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13174,13285,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13371,13460,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13871,14446,longer_from_REPLICATE1_transcript_36_support_10,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,35,148,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2009,2122,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2596,2700,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,5719,5897,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,7812,7965,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,9975,10090,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11045,11156,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11597,11708,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,12142,12253,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13371,13460,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13871,14446,longer_from_REPLICATE1_transcript_40_support_3,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,35,148,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2009,2122,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2596,2700,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,5719,5897,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,7812,7965,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,9975,10090,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11045,11156,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,11597,11708,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,12142,12253,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13371,13460,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,13871,14446,REPLICATE1_transcript_38_support_6REPLICATE2_transcript_59_support_8,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,60,148,REPLICATE1_transcript_115_support_4REPLICATE2_transcript_154_support_2,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2009,2122,REPLICATE1_transcript_115_support_4REPLICATE2_transcript_154_support_2,60,+,exon,protein-coding,Human 1
RBMY1A1_ENSG00000234414.8,2596,2700,REPLICATE1_transcript_115_support_4REPLICATE2_transcript_154_support_2,60,+,exon,protein-coding,Human 1
