chromosome,start,end,transcript_name,score,strand,type,transcript_biotype,species
TSPY1_ENSG00000258992.7,46,532,TSPY1_CCDS76071.1,60,+,exon,protein-coding,Human reference
TSPY1_ENSG00000258992.7,1139,1217,TSPY1_CCDS76071.1,60,+,exon,protein-coding,Human reference
TSPY1_ENSG00000258992.7,1345,1457,TSPY1_CCDS76071.1,60,+,exon,protein-coding,Human reference
TSPY1_ENSG00000258992.7,1558,1704,TSPY1_CCDS76071.1,60,+,exon,protein-coding,Human reference
TSPY1_ENSG00000258992.7,1799,1862,TSPY1_CCDS76071.1,60,+,exon,protein-coding,Human reference
TSPY1_ENSG00000258992.7,12,532,longer_from_REPLICATE1_transcript_215_support_9,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE1_transcript_215_support_9,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE1_transcript_215_support_9,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE1_transcript_215_support_9,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_215_support_9,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE1_transcript_215_support_9,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,45,532,longer_from_REPLICATE2_transcript_176_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_176_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_176_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_176_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1799,1892,longer_from_REPLICATE2_transcript_176_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE2_transcript_176_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,45,532,longer_from_REPLICATE2_transcript_172_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_172_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_172_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_172_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE2_transcript_172_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2709,longer_from_REPLICATE2_transcript_172_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,46,532,longer_from_REPLICATE2_transcript_108_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_108_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_108_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_108_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE2_transcript_108_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE2_transcript_108_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,46,532,longer_from_REPLICATE2_transcript_112_support_14,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_112_support_14,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_112_support_14,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_112_support_14,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE2_transcript_112_support_14,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE2_transcript_112_support_14,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,50,532,longer_from_REPLICATE1_transcript_72_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE1_transcript_72_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE1_transcript_72_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE1_transcript_72_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_72_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE1_transcript_72_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,81,532,longer_from_REPLICATE1_transcript_48_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE1_transcript_48_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE1_transcript_48_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE1_transcript_48_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_48_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2795,longer_from_REPLICATE1_transcript_48_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,292,532,longer_from_REPLICATE2_transcript_206_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_206_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_206_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_206_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE2_transcript_206_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2793,longer_from_REPLICATE2_transcript_206_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,331,532,longer_from_REPLICATE1_transcript_240_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE1_transcript_240_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE1_transcript_240_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE1_transcript_240_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_240_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE1_transcript_240_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,376,532,longer_from_REPLICATE2_transcript_269_support_10,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_269_support_10,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_269_support_10,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_269_support_10,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE2_transcript_269_support_10,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2793,longer_from_REPLICATE2_transcript_269_support_10,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,462,532,longer_from_REPLICATE1_transcript_205_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE1_transcript_205_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE1_transcript_205_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE1_transcript_205_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_205_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2795,longer_from_REPLICATE1_transcript_205_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,462,532,longer_from_REPLICATE1_transcript_204_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE1_transcript_204_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE1_transcript_204_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE1_transcript_204_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_204_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2795,longer_from_REPLICATE1_transcript_204_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1416,1704,longer_from_REPLICATE2_transcript_33_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE2_transcript_33_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE2_transcript_33_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1567,1704,longer_from_REPLICATE1_transcript_22_support_6,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_22_support_6,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE1_transcript_22_support_6,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1567,1704,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE1_transcript_15_support_6,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1592,2742,longer_from_REPLICATE1_transcript_8_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1734,2794,longer_from_REPLICATE2_transcript_17_support_4,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1744,2742,longer_from_REPLICATE1_transcript_28_support_3,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,1846,1892,longer_from_REPLICATE1_transcript_318_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE1_transcript_318_support_2,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,2495,2794,REPLICATE1_transcript_26_support_6REPLICATE2_transcript_84_support_8,60,+,exon,protein-coding,Human 1
TSPY1_ENSG00000258992.7,12,532,longer_from_REPLICATE2_transcript_109_support_5,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_109_support_5,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_109_support_5,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_109_support_5,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,1810,1892,longer_from_REPLICATE2_transcript_109_support_5,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,2584,2794,longer_from_REPLICATE2_transcript_109_support_5,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,46,532,longer_from_REPLICATE2_transcript_63_support_2,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,1139,1217,longer_from_REPLICATE2_transcript_63_support_2,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,1345,1457,longer_from_REPLICATE2_transcript_63_support_2,60,+,exon,protein-coding,Chimpanzee 2
TSPY1_ENSG00000258992.7,1558,1704,longer_from_REPLICATE2_transcript_63_support_2,60,+,exon,protein-coding,Chimpanzee 2
