sample,gene_family,transcript_name,transcript_length,nr_reads,min_read_len,median_read_len,max_read_len
Human 1,BPY2,REPLICATE1_transcript_127_support_9REPLICATE2_transcript_115_support_6,1243,52,1221,1251,1270
Human 1,BPY2,REPLICATE1_transcript_130_support_5REPLICATE2_transcript_117_support_6,1247,67,468,1253,1287
Human 1,BPY2,longer_from_REPLICATE1_transcript_15_support_6,916,13,896,903,981
Human 1,BPY2,longer_from_REPLICATE1_transcript_12_support_3,948,37,550,907,941
Human 1,CDY,longer_from_REPLICATE1_transcript_62_support_3,2296,3,2235,2263,2270
Human 1,CDY,longer_from_REPLICATE2_transcript_219_support_8,2203,3,2175,2201,2216
Human 1,CDY,longer_from_REPLICATE2_transcript_198_support_5,2197,4,2192,2195.5,2198
Human 1,CDY,REPLICATE1_transcript_159_support_5REPLICATE2_transcript_179_support_13,2196,68,2173,2197,2230
Human 1,CDY,longer_from_REPLICATE1_transcript_52_support_3,1944,59,1906,1930,1974
Human 1,CDY,REPLICATE1_transcript_135_support_23REPLICATE2_transcript_164_support_30,1927,156,1907,1929,1948
Human 1,CDY,longer_from_REPLICATE2_transcript_108_support_7,1962,161,564,1924,1957
Human 1,CDY,longer_from_REPLICATE2_transcript_85_support_5,1947,2,1941,1942.5,1944
Human 1,DAZ,REPLICATE1_transcript_2_support_5REPLICATE2_transcript_8_support_3,776,45,159,775,1239
Human 1,DAZ,longer_from_REPLICATE2_transcript_187_support_5,2640,35,1190,1370,2620
Human 1,DAZ,longer_from_REPLICATE2_transcript_157_support_3,2724,28,778,1536,2794
Human 1,DAZ,longer_from_REPLICATE2_transcript_189_support_6,2075,7,2005,2016,2049
Human 1,DAZ,longer_from_REPLICATE1_transcript_45_support_2,4004,24,3979,4003,4021
Human 1,DAZ,longer_from_REPLICATE2_transcript_542_support_2,3296,178,916,3218,3321
Human 1,DAZ,longer_from_REPLICATE1_transcript_110_support_5,2839,40,2819,2841,2859
Human 1,DAZ,longer_from_REPLICATE2_transcript_635_support_8,2371,7,479,483,2355
Human 1,DAZ,longer_from_REPLICATE2_transcript_454_support_3,4041,5,4016,4026,4046
Human 1,DAZ,REPLICATE1_transcript_1_support_3REPLICATE2_transcript_1_support_9,85,43,84,328,2945
Human 1,DAZ,REPLICATE1_transcript_91_support_2REPLICATE2_transcript_253_support_4,2992,48,929,2980,3009
Human 1,DAZ,longer_from_REPLICATE1_transcript_5_support_2,2344,19,2270,2287,2329
